Rank,Country,A. Talent (/100),B. Output (/100),C. Innovation (/100),D. Sustain (/100),E. Earnings (/100),F. Tournaments (/100),G. Investments (/100),Overall (/100),Standouts,Notes,Earnings ($M),Key Tournaments,Investments ($B),Core Mythology,Heroes,Biggest IP,Most Popular Games
1,United States,98,99,97,95,91,60,24,87.4,"Epic (Fortnite), Blizzard; indie explosion (Hades II)",AAA/live ops dominance; esports earnings YTD $7.6M lead global.,296.9,"LCS, DreamHack (15 total)",1.2,Greco-Roman,"Hercules, Achilles",Assassin's Creed,Call of Duty
2,China,90,95,92,85,100,80,100,86.5,"Tencent (PUBG Mobile), miHoYo (Genshin); AI dev tools",Tencent $3.2B H1 iAP + $3B M&A; Worlds co-host peaks 6.4M viewers.,326.7,"KPL, Worlds 2025 (20 total)",5.0,Chinese,"Sun Wukong, Nezha",Genshin Impact,Honor of Kings
3,South Korea,85,88,90,88,48,100,16,74.3,"Nexon (MapleStory), Krafton (PUBG)",LCK Cup 1M+ viewers; STEM pipeline fuels 36% East Asia events share.,156.6,"LCK 2025, VCT Masters (25 total)",0.8,Korean,"Dangun, Hong Gil-dong",PUBG,League of Legends
4,Japan,92,90,95,82,13,32,6,68.1,"Nintendo (Switch 2), FromSoftware (Elden Ring DLC)",Console innovation strong; mobile slowdown docks esports.,41.2,Capcom Pro Tour (8 total),0.3,Japanese,"Yamato Takeru, Amaterasu",Elden Ring,Monster Hunter
5,United Kingdom,82,85,88,90,15,28,8,63.9,"Rockstar (GTA VI tease), Hello Games (No Man's Sky+)","Narrative edge; ESL UK boosts, but funding trails US.",49.2,"ESL UK, BLAST (7 total)",0.4,Celtic/British,"King Arthur, Cú Chulainn",Grand Theft Auto,Total War
6,Canada,88,84,86,92,15,24,10,63.0,"Ubisoft Montreal (Assassin's Creed), BioWare",Tax rebates shine; ELITE League aids LatAm ties.,50.2,ELITE League (6 total),0.5,Indigenous/Norse-Influenced,"Raven (Trickster), Glooscap",Assassin's Creed,Overwatch
7,Germany,80,82,84,88,16,36,4,62.7,"Yager (The Cycle), Daedalic (Deponia)",PC/strategy hub; Gamescom integrates 9 events.,52.7,Gamescom majors (9 total),0.2,Germanic/Norse,"Siegfried, Brunhild",Anno,The Settlers
8,France,78,80,82,86,19,32,6,62.0,"Ubisoft (Far Cry), Dontnod (Life is Strange)","Adventure/RPGs; VCT France peaks, Karmine Corp funding.",61.2,"ESL France, VCT (8 total)",0.3,Gallic/Celtic,"Vercingetorix, Melusine",Far Cry,Life is Strange
9,Sweden,83,78,85,90,18,20,2,59.3,"Paradox (Stellaris), DICE (Battlefield)",Per-capita elite; DreamHack anchors Nordic scene.,58.4,DreamHack Stockholm (5 total),0.1,Nordic,"Thor, Loki",Battlefield,Stellaris
10,Finland,84,76,87,92,10,16,4,57.5,"Supercell (Clash of Clans), Remedy (Alan Wake 2)",Mobile/AA #1 per cap; Slush event niche but innovative.,34.0,Slush esports (4 total),0.2,Finnish,"Väinämöinen, Lemminkäinen",Clash of Clans,Alan Wake
11,Brazil,70,75,78,80,22,40,8,57.2,"Wildlife (mobile), Hoplon Infotainment","LatAm leader +6.4%; CBLoL/Free Fire 10 events, LOUD funding.",71.7,"CBLoL, Free Fire (10 total)",0.4,Indigenous/Afro-Brazilian,"Curupira, Iara",Free Fire,Dota 2
12,Australia,72,72,80,82,11,20,2,55.3,"Big Ant (Sports titles), PlaySide (mobile)","VR/AR growth; PAX Aus steady, Oceania hubs emerging.",34.3,PAX Aus (5 total),0.1,Aboriginal,"Rainbow Serpent, Bunyip",Cricket 22,Minecraft
13,India,68,70,75,78,2,24,6,54.0,"Nazara (mobile hits), Moonfrog Labs","Outsourcing +15% YoY; BGMI Masters 6 events, Nodwin $0.3B.",7.8,BGMI Masters (6 total),0.3,Hindu,"Arjuna, Hanuman",BGMI (Battlegrounds Mobile India),Ludo King
14,Netherlands,74,68,82,84,6,16,2,53.1,"Guerrilla (Horizon), Triumph (Age of Wonders)",Tech indies; ESL Benelux co-op focus.,19.1,ESL Benelux (4 total),0.1,Germanic/Dutch Folklore,"Heer Halewijn, Kobus van der Hell",Horizon Zero Dawn,Age of Wonders
15,Poland,76,65,80,82,10,20,4,52.8,"CD Projekt RED (Cyberpunk 2), Techland (Dying Light 3)",EE quality #1; ESL Impact rebounds post-2024.,31.7,ESL Impact (5 total),0.2,Slavic,"Krakus, Leshy",The Witcher,Cyberpunk 2077
16,Singapore,70,66,78,80,2,12,8,51.4,"Razer (hardware tie-ins), The Gentlebros","APAC hub; SEA Games 3 events, Razer SEA $0.4B.",7.8,SEA Games (3 total),0.4,Chinese/Malay/Indian Fusion,"Sang Nila Utama, Pontianak",Razer Hardware tie-ins,Hearthstone
